49277;0:0:0,!,0.00000,0.00000,0.00;25.6,101627,-25;0.56,0.18,9.30,27.0,5.56,-1.85,0.54;11,-501,-521;25.00,25.25,25.25,25.00
51596;0:0:0,!,0.00000,0.00000,0.00;25.6,101627,-25;0.58,0.29,9.36,27.0,5.74,-1.97,0.48;15,-502,-521;25.00,25.25,25.25,25.00
53920;0:0:0,!,0.00000,0.00000,0.00;25.6,101624,-25;0.53,0.27,9.38,27.0,5.56,-1.85,0.54;14,-503,-517;25.00,25.25,25.25,25.00
56238;0:0:0,!,0.00000,0.00000,0.00;25.6,101621,-25;0.61,0.23,9.42,27.0,5.56,-1.97,0.54;13,-501,-520;25.00,25.25,25.25,25.00
58562;0:0:0,!,0.00000,0.00000,0.00;25.6,101618,-24;0.54,0.24,9.35,27.0,5.50,-2.03,0.54;17,-504,-519;25.00,25.25,25.25,25.00
60880;0:0:0,!,0.00000,0.00000,0.00;25.6,101614,-24;0.52,0.21,9.32,27.0,5.62,-1.79,0.36;13,-502,-518;25.00,25.25,25.25,25.00
63205;0:0:0,!,0.00000,0.00000,0.00;25.6,101618,-24;0.52,0.28,9.37,27.1,5.56,-1.97,0.48;12,-505,-519;25.00,25.25,25.25,25.00
65523;0:0:0,!,0.00000,0.00000,0.00;25.6,101624,-25;0.50,0.22,9.31,27.0,5.50,-1.85,0.36;13,-502,-519;25.25,25.25,25.25,25.00
67841;0:0:0,!,0.00000,0.00000,0.00;25.6,101627,-25;0.51,0.26,9.36,27.1,5.44,-1.85,0.60;12,-504,-518;25.25,25.25,25.25,25.25
70159;0:0:0,!,0.00000,0.00000,0.00;25.6,101621,-25;0.56,0.27,9.33,27.2,5.74,-1.91,0.54;10,-501,-520;25.25,25.25,25.25,25.00
72484;0:0:0,!,0.00000,0.00000,0.00;25.6,101618,-24;0.57,0.29,9.40,27.2,5.62,-1.68,0.60;13,-502,-521;25.25,25.25,25.25,25.00
74802;0:0:0,!,0.00000,0.00000,0.00;25.6,101627,-25;0.61,0.30,9.34,27.2,5.62,-1.91,0.48;8,-502,-520;25.00,25.25,25.25,25.00
77119;0:0:0,!,0.00000,0.00000,0.00;25.6,101621,-25;0.53,0.21,9.33,27.1,5.68,-1.85,0.60;10,-503,-516;25.00,25.25,25.25,25.25
79437;0:0:0,!,0.00000,0.00000,0.00;25.6,101624,-25;0.55,0.24,9.32,27.1,5.62,-1.85,0.48;10,-503,-518;25.25,25.25,25.25,25.00
